speed,angle,power
0.092407417,0.744064006,0.000401577
0.109393021,0.760913495,0.001160766
0.130315251,0.757023764,-0.004179487
0.127111208,0.763569252,0.009250439
0.134410439,0.764695541,0.010499368
0.126421549,0.752293276,0.006387109
0.12574451,0.741512762,0.008073566
0.111942099,0.71858433,0.006779542
0.099788886,0.705920543,0.006849953
0.109337524,0.707970263,0.013079621
0.119392089,0.718717838,0.006907527
0.130256575,0.742162073,0.01028683
0.141705406,0.728439698,0.014437085
0.128547315,0.719954608,0.024642616
0.103527928,0.694708013,0.021445602
0.093576564,0.674019331,0.023563328
0.098618342,0.659834847,0.019183566
0.102563488,0.656565182,0.021827027
0.09844702,0.669669021,0.024278941
0.116531982,0.674876781,0.024074665
0.096992046,0.655395359,0.022063368
0.101180038,0.62164858,0.026408189
0.088801555,0.608346472,0.022539231
0.100485078,0.627303895,0.025639928
0.110433535,0.648431873,0.027581141
0.120766689,0.69209033,0.026501721
0.119969845,0.706299616,0.0359483
0.124075872,0.713084733,0.025367298
0.137711538,0.689458878,0.036463722
0.160384218,0.70509135,0.041003183
0.172308308,0.732403019,0.043592457
0.176534594,0.754660833,0.05878347
0.168147677,0.792549369,0.066324507
0.156171547,0.81130211,0.074507544
0.146350033,0.812575747,0.078071204
0.150112121,0.826709757,0.079383319
0.131620044,0.838056185,0.062642487
0.134007273,0.845899354,0.050210626
0.168184516,0.819913741,0.047471058
0.20931289,0.732201422,0.04012933
0.215014451,0.667186481,0.05280291
0.195388164,0.676792126,0.071713827
0.176019015,0.678222327,0.083608113
0.17408364,0.66058688,0.093627264
0.17008872,0.705869771,0.107105526
0.1561433,0.728074966,0.104756977
0.15281357,0.671775569,0.086470795
0.159826,0.637358658,0.076674363
0.15909561,0.701157276,0.069161303
0.15538945,0.712486435,0.063674599
0.148557472,0.689910511,0.056037651
0.140649438,0.69355997,0.056504553
0.134121753,0.736781859,0.055998316
0.139776145,0.757637225,0.04570082
0.144822847,0.759657284,0.046764858
0.143091907,0.752193613,0.053440282
0.152355406,0.694487119,0.044285595
0.147913454,0.5562596,0.050067277
0.120013005,0.346510232,0.042652885
