speed,power curve,angle,power
0.478905793,0.969439968,0.553487614,0.922113207
0.501043319,0.996428869,0.553669594,0.98533927
0.519435239,0.994985992,0.566324093,0.9987611
0.527914652,1.002948965,0.562852125,1.003635345
0.523086994,0.995116832,0.56597925,0.996141305
0.522633447,1.007317999,0.561378101,0.99194537
0.515117629,0.993561772,0.559474886,0.97841528
0.514291963,0.998979826,0.560721519,0.966897937
0.511095349,0.999930114,0.556549225,0.95768693
0.508422977,1.001362304,0.560895697,0.967958818
0.507739628,0.995000234,0.559954448,0.968616279
0.499894788,1.002158705,0.557054105,0.985542083
0.495356495,0.994695003,0.564428406,0.985793297
0.48506831,0.993279599,0.565723412,0.981305707
0.499047972,0.986511757,0.559199713,0.973805855
0.506392985,0.996499126,0.551338532,0.974527246
0.53653417,1.063577035,0.545222603,1.005291213
0.520889358,1.074341047,0.545518582,0.999757176
0.458153445,0.866636141,0.55182722,0.805855866
0.339284695,0.452408713,0.571420119,0.416712714
0.272199827,0.221929507,0.58920749,0.214874395
0.259243777,0.212577394,0.598583655,0.205452973
0.279450691,0.312437492,0.589880655,0.278459881
0.308025706,0.399612157,0.586760662,0.355849004
0.323495051,0.452799179,0.588088354,0.410023267
0.338875222,0.523822147,0.57556015,0.452535565
0.354524728,0.584877155,0.567694803,0.501811244
0.366527014,0.673370196,0.568342781,0.566754411
0.394345732,0.764769861,0.563967101,0.642643614
0.414405221,0.850127905,0.569992225,0.72498561
0.437020799,0.906330054,0.56026544,0.810682208
0.455474901,0.953941774,0.566331367,0.878610258
0.464094153,0.971225253,0.562922444,0.919876931
0.46912595,0.979079396,0.556421793,0.929520806
0.487584481,0.98366147,0.565218193,0.953032749
0.493178679,0.999539599,0.550857537,0.974478376
0.521423432,0.991580054,0.564638042,1.004062189
0.539572172,1.005124064,0.556387815,0.993882695
0.546965665,0.995593813,0.56331816,0.996426009
0.541150175,1.006527867,0.561526014,0.997621096
0.542880118,0.998842865,0.564691729,0.995277952
0.560739376,1.000980012,0.564153115,0.990183608
0.561529722,0.995823087,0.56801019,1.001366246
0.556939929,0.998415733,0.566805491,0.99691129
0.568949607,1.000581988,0.561749051,0.996601165
0.568990756,1.000217222,0.566494701,0.989988128
0.581982839,0.996194992,0.560107835,1.001909202
0.605383631,0.998197153,0.558573232,0.992525502
0.6148403,1.003577052,0.568371083,0.994489997
0.617045994,0.995496485,0.561271916,0.998235494
0.626370715,1.003413832,0.550981991,0.987815778
0.637127854,1.000545192,0.566522369,0.997376032
0.641523522,0.997513993,0.548537249,0.994788182
0.630500974,1.001367146,0.556022569,0.999009088
0.649005279,1.000358103,0.558777715,0.994520142
0.644256833,0.99822703,0.560099779,0.995881229
0.64082962,0.999445633,0.559690173,1.001045845
0.636991498,1.004715328,0.570590934,0.991658551
0.628169606,0.994858526,0.55947957,1.00050705
0.643639527,1.005679227,0.558029423,0.995125029
0.640454885,1.001195695,0.556400699,0.989956825
0.645638403,0.99514772,0.554007898,0.998544033
0.645349306,0.993720002,0.553778048,0.992221406
0.624035513,1.010265494,0.543801151,0.996047654
0.615703172,0.999535048,0.553102198,1.000279591
0.583457054,0.999222115,0.54708878,0.999590772
0.51847862,0.970360668,0.544667845,0.950894317
0.486571407,0.931587629,0.547163888,0.920333966
0.531109659,0.964744021,0.549170888,0.94414074
0.584914653,0.993965153,0.545366629,1.001191299
0.573113978,1.006947308,0.542564584,1.000893428
0.555922773,1.003495536,0.538623587,0.995251275
0.545314218,1.002295878,0.54534429,0.998541982
0.547187418,0.998029289,0.533645082,0.987318588
0.539566978,1.000223601,0.532822424,0.979858067
0.5353844,1.006239103,0.533018187,0.977514908
0.523641351,0.991236443,0.535928828,0.97647038
0.507025744,0.992226963,0.529635941,0.959736674
0.493409435,0.970011679,0.533102195,0.939405276
0.509942048,0.990301005,0.524393758,0.955931035
0.540550141,1.000385991,0.5253917,0.969260993
0.565086032,1.004220859,0.528204716,0.990578159
0.561797633,0.995003254,0.514612161,0.991297026
0.548006472,1.00569432,0.530810517,1.002321841
0.523085443,0.995972675,0.534804768,0.992077792
0.496929069,0.984705953,0.536123686,0.961286224
0.473283632,0.964623946,0.552118995,0.926246785
0.45480977,0.962929535,0.546310813,0.919079739
0.479463325,0.966730721,0.57239053,0.937227694
0.51924494,0.99151785,0.576575793,0.971977713
0.550167731,1.000958787,0.579095489,0.983111525
0.568981091,1.00258379,0.585174048,0.998829027
0.583486292,0.996017225,0.583085059,0.992910163
0.59766581,1.002307248,0.568098488,0.999671028
0.570290726,0.995729971,0.574582587,0.991774587
0.539206396,1.007726868,0.560155678,0.991277169
0.538914787,1.000831511,0.572684036,0.980777944
0.531137574,0.992371992,0.575527505,0.985327883
0.509016869,1.003508533,0.567389046,0.981949435
0.489665826,0.997001987,0.56342297,0.960504152
0.48032021,0.97542732,0.565759952,0.957966149
0.475964513,0.981634083,0.583102468,0.939818594
0.47801224,0.984174702,0.58703533,0.946988501
0.47448019,0.977916132,0.589044736,0.950703316
0.471795572,0.972359432,0.588490667,0.927188599
0.470640526,0.968637464,0.594153142,0.930166219
0.467765467,0.970227521,0.595505377,0.952214918
0.471894914,0.974222466,0.592481082,0.944827887
0.49199292,0.973684221,0.595116799,0.949260988
0.52835249,0.987002689,0.596217492,0.970948464
0.549020664,0.993849125,0.589541127,0.986162859
0.559604333,1.005744407,0.594490996,0.999707217
0.567293579,0.999476923,0.588400449,0.993051834
0.599571647,0.997441142,0.599291275,0.991906107
0.621644107,1.002561607,0.598580544,0.995957581
0.613734372,0.999351688,0.603977108,1.001268372
0.603692968,1.002157705,0.60123294,0.9880707
0.612810551,0.999865203,0.595209997,1.006544695
0.616006567,0.9999579,0.599143176,0.996968347
0.613497249,0.99819024,0.586400019,0.997880411
0.63745908,0.999293787,0.577255226,0.990301469
0.675334129,1.002970531,0.575562118,1.003641187
0.713096695,1.004240285,0.58842032,0.984865053
0.733971087,0.999056948,0.58435094,1.002041139
0.726659616,0.991064962,0.560451895,0.991599014
0.708771055,1.002966495,0.556760632,0.997028412
0.700232475,1.005754264,0.551265549,0.989735378
0.699768422,0.997109092,0.538566454,1.000081761
0.701163186,0.996062778,0.537856338,0.994911292
0.720690688,1.001975599,0.537822624,0.994476071
0.752739647,1.002018555,0.532740712,0.993797992
0.761158131,0.997040234,0.53960258,1.002117333
0.754806286,1.006639582,0.536102891,0.991217714
0.742495433,0.99424607,0.528634426,0.995653334
0.716709335,1.000117858,0.533038153,0.99698098
0.686677082,1.000339887,0.53257201,0.998711898
0.663891066,1.003213985,0.540313363,0.994047085
0.621250236,1.000301605,0.542645196,0.992473399
0.624445766,0.995152579,0.551232742,0.98931684
0.661245863,1.006844424,0.544834453,0.984761544
0.690538207,0.999419452,0.5465257,0.982923223
